Code:	WP 300.20

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 18.11.2019	Time: 16:37:40

Name:	stress strain poly
User Comment:	

Data Start
t Time Index	l Distance	F Force	EPS Strain	R	TEST Test	
h:min:s	mm	KN	%	N/mm^2		
16:32:01.2	1.8808	0.7854	6.2693	41.8854	1.0000
16:31:50.2	1.8930	0.5515	6.3100	29.4157	1.0000
16:29:41.3	1.9052	1.1630	6.3508	62.0288	1.0000
16:31:49.2	1.9052	0.5575	6.3508	29.7355	1.0000
16:32:02.2	1.9052	0.8033	6.3508	42.8447	1.0000
16:29:42.3	1.9174	1.1570	6.3915	61.7091	1.0000
16:31:48.2	1.9174	0.5635	6.3915	30.0552	1.0000
16:31:47.2	1.9297	0.5695	6.4322	30.3749	1.0000
16:32:03.2	1.9297	0.8213	6.4322	43.8039	1.0000
16:29:43.3	1.9419	1.1870	6.4729	63.3078	1.0000
16:32:04.2	1.9419	0.8393	6.4729	44.7631	1.0000
16:31:46.2	1.9541	0.5815	6.5136	31.0144	1.0000
16:29:44.3	1.9663	1.1870	6.5543	63.3078	1.0000
16:31:45.2	1.9663	0.5935	6.5543	31.6539	1.0000
16:29:45.3	1.9785	1.1810	6.5950	62.9880	1.0000
16:31:44.2	1.9785	0.5935	6.5950	31.6539	1.0000
16:32:05.2	1.9785	0.8633	6.5950	46.0420	1.0000
16:32:06.2	1.9907	0.8873	6.6357	47.3210	1.0000
16:29:46.3	2.0029	1.1930	6.6764	63.6275	1.0000
16:29:47.3	2.0029	1.1870	6.6764	63.3078	1.0000
16:31:43.2	2.0029	0.5995	6.6764	31.9736	1.0000
16:32:07.2	2.0029	0.8993	6.6764	47.9604	1.0000
16:29:48.3	2.0151	1.1990	6.7171	63.9472	1.0000
16:31:42.2	2.0151	0.6115	6.7171	32.6131	1.0000
16:29:49.3	2.0274	1.2170	6.7579	64.9064	1.0000
16:29:50.3	2.0274	1.1990	6.7579	63.9472	1.0000
16:29:51.3	2.0274	1.1990	6.7579	63.9472	1.0000
16:32:08.2	2.0274	0.8993	6.7579	47.9604	1.0000
16:32:09.2	2.0274	0.9232	6.7579	49.2394	1.0000
16:29:52.3	2.0396	1.2050	6.7986	64.2670	1.0000
16:31:41.2	2.0396	0.6295	6.7986	33.5723	1.0000
16:29:53.3	2.0518	1.2050	6.8393	64.2670	1.0000
16:29:54.3	2.0518	1.2170	6.8393	64.9064	1.0000
16:31:40.2	2.0518	0.6295	6.8393	33.5723	1.0000
16:32:10.2	2.0518	0.9232	6.8393	49.2394	1.0000
16:32:11.2	2.0518	0.9412	6.8393	50.1986	1.0000
16:31:39.2	2.0640	0.6475	6.8800	34.5315	1.0000
16:29:55.3	2.0762	1.2110	6.9207	64.5867	1.0000
16:29:56.3	2.0762	1.2230	6.9207	65.2262	1.0000
16:31:38.2	2.0762	0.6595	6.9207	35.1710	1.0000
16:32:12.2	2.0762	0.9472	6.9207	50.5183	1.0000
16:29:57.3	2.0884	1.2290	6.9614	65.5459	1.0000
16:32:13.2	2.0884	0.9532	6.9614	50.8381	1.0000
